sample	num_consensus_snps	number_N_calls
ERR025450	972	194749
ERR025451	916	260915
ERR025452	1002	177347
ERR025453	951	253965
ERR025454	978	177395
ERR025455	982	173158
ERR025456	951	222006
ERR025457	940	222664
ERR025458	934	194044
ERR025459	944	186264
ERR025460	936	204735
ERR025832	107	2947213
ERR025833	1057	153816
ERR025834	1042	178058
ERR025835	1048	158370
ERR025836	1046	160397
ERR025837	987	144379
ERR025838	979	152485
ERR025839	1026	182286
ERR025840	1036	181588
ERR025841	234	2522598
ERR025842	1010	132550
ERR025843	1002	151704
ERR025844	1017	135060
ERR025845	983	174564
ERR025846	1017	135750
ERR025847	991	132704
ERR025848	983	139886
ERR026471	332	532508
ERR026472	1032	135150
ERR026473	1074	176199
ERR026474	1067	173731
ERR026475	976	167280
ERR026476	981	151508
ERR026477	1038	169667
ERR026478	1071	158192
ERR026479	1078	148782
ERR026480	1057	162439
ERR026481	1035	175610
ERR026482	1031	179295
ERR028606	295	823426
ERR028607	1042	176969
ERR028608	987	149400
ERR028609	1026	181773
ERR028610	953	212816
ERR028611	1032	179854
ERR028612	944	174183
ERR028613	955	161469
ERR028614	862	315502
ERR028615	960	138897
ERR028616	963	143155
ERR028617	967	138799
ERR028618	373	391339
ERR028619	1039	197188
ERR028620	950	200817
ERR028621	977	163280
ERR028622	932	196028
ERR028623	981	190253
ERR028624	924	177552
ERR028625	915	176077
ERR028626	946	129577
ERR028627	967	143820
ERR028628	1021	133465
ERR028629	959	178012
ERR029200	290	674149
ERR029201	978	149201
ERR029202	984	148634
ERR029203	1030	180995
ERR029204	946	162415
ERR029205	1008	172464
ERR029206	1044	173190
ERR029207	1048	164094
ERR029208	0	4411532
ERR029209	1051	156668
ERR029210	1075	145629
ERR029211	987	128024
ERR038253	958	175535
ERR038254	970	191555
ERR038255	971	175492
ERR038256	974	152584
ERR038257	978	145951
ERR038258	1110	116150
ERR038259	1102	122884
ERR038260	1053	132775
ERR038261	1048	133449
ERR038262	1029	148510
ERR038263	1030	149422
ERR038264	1089	133572
ERR038265	1030	180120
ERR038266	1025	207908
ERR038267	951	183752
ERR038268	56076	3701355
ERR038269	1046	159809
ERR038270	1062	138313
ERR038271	1053	160726
ERR038272	1052	166743
ERR038273	1047	161997
ERR038274	973	170985
ERR038275	964	172083
ERR038276	966	154847
ERR038277	935	156934
ERR038278	932	182837
ERR038279	965	165988
ERR038280	1049	152397
ERR038281	975	149214
ERR038282	1040	118144
ERR038283	986	151999
ERR038284	985	153637
ERR038285	974	150048
ERR038286	976	159302
ERR038287	1033	162764
ERR038288	1091	114577
ERR038289	979	165632
ERR038290	971	182610
ERR038291	912	160043
ERR038292	942	127552
ERR038293	995	140396
ERR038294	993	134890
ERR038295	977	157942
ERR038296	971	164319
ERR038297	976	157907
ERR038298	1053	157325
ERR038299	1046	156355
ERR038300	1084	121344
ERR038736	985	190304
ERR038737	981	176978
ERR038738	956	133325
ERR038739	995	120726
ERR038740	987	126321
ERR038741	977	120249
ERR038742	1000	141246
ERR038743	1125	124172
ERR038744	1001	168897
ERR038745	1016	158015
ERR038746	1055	173619
ERR038747	1025	137496
ERR038748	968	139296
ERR038749	995	128877
ERR038750	1019	130463
ERR038751	990	129931
ERR038752	1118	125301
ERR038753	1131	110838
ERR038754	991	124538
ERR038755	980	135787
ERR039323	1045	163274
ERR039324	1069	182661
ERR039325	918	175015
ERR039326	926	158677
ERR039327	913	156869
ERR039328	936	139242
ERR039329	930	143879
ERR039330	964	174849
ERR039331	1041	145179
ERR039332	1030	170255
ERR039333	1038	167174
ERR039334	1058	137212
ERR039335	954	167079
ERR039336	945	195854
ERR039337	955	173819
ERR039338	960	157388
ERR039339	1009	141413
ERR039340	1035	124412
ERR039341	1014	148623
ERR039342	1024	143510
ERR039343	1000	146981
ERR039344	966	160637
ERR039345	999	147817
ERR039346	997	130281
ERR040086	1049	150062
ERR040087	1060	167590
ERR040088	1056	160251
ERR040089	1045	154015
ERR040090	1074	143332
ERR040091	1094	117403
ERR040092	1060	152806
ERR040093	1053	150866
ERR040094	992	148104
ERR040095	984	165626
ERR040096	984	157427
ERR040097	1012	128118
ERR040098	983	162816
ERR040099	966	181633
ERR040100	980	167612
ERR040101	986	160064
ERR040102	989	143217
ERR040103	1002	131792
ERR040104	978	154236
ERR040105	988	155160
ERR040106	1031	147702
ERR040107	1045	165352
ERR040108	1056	158441
ERR040109	954	127529
ERR040112	977	188127
ERR040113	973	207784
ERR040114	1089	148675
ERR040115	957	146264
ERR040116	989	176165
ERR040117	994	166390
ERR040118	1054	160500
ERR040119	1074	141410
ERR040120	984	182286
ERR040121	1055	173118
ERR040122	1012	144814
ERR040123	1078	141056
ERR040124	944	174900
ERR040125	945	171297
ERR040126	1069	152888
ERR040127	961	138216
ERR040128	956	139180
ERR040129	1058	156343
ERR040130	952	161656
ERR040131	992	145817
ERR040132	974	181748
ERR040133	1043	166437
ERR040134	965	216000
ERR040135	976	175500
ERR040136	1079	152518
ERR040137	964	155888
ERR040138	1004	129987
ERR040139	1045	164217
ERR040140	1058	180884
ERR040141	1052	164069
ERR040142	979	203382
ERR046729	1065	136934
ERR046730	1082	155011
ERR046731	930	176074
ERR046732	964	170196
ERR046733	921	147395
ERR046734	932	144207
ERR046735	916	148176
ERR046736	905	156298
ERR046737	925	141109
ERR046738	921	144458
ERR046739	911	164106
ERR046740	905	172007
ERR046741	901	159277
ERR046742	910	162595
ERR046743	910	161808
ERR046744	915	150626
ERR046745	918	153047
ERR046746	909	158353
ERR046747	1350	210939
ERR046748	1340	222725
ERR046749	1343	214811
ERR046750	1355	208938
ERR046751	984	148386
ERR046752	971	161126
ERR046753	972	153924
ERR046754	965	172324
ERR046755	980	150163
ERR046756	979	152665
ERR046757	999	144129
ERR046758	992	135676
ERR046759	977	148305
ERR046760	973	151281
ERR046761	991	140220
ERR046762	980	146410
ERR046763	975	154651
ERR046764	976	161615
ERR046765	992	148066
ERR046766	975	166456
ERR046767	979	156898
ERR046768	983	142213
ERR046769	1071	128318
ERR046770	1058	143721
ERR046771	1034	173777
ERR046772	1057	141507
ERR046773	1044	157349
ERR046774	1344	217007
ERR046775	1044	155214
ERR046776	996	166553
ERR046777	998	169746
ERR046778	986	178622
ERR046779	1019	163898
ERR046780	1041	146000
ERR046781	1004	148692
ERR046782	959	158271
ERR046783	978	144990
ERR046784	975	146373
ERR046785	972	155441
ERR046786	967	160783
ERR046787	960	175265
ERR046788	963	172471
ERR046789	939	213861
ERR046790	959	179037
ERR046791	953	179594
ERR046792	970	162426
ERR046793	974	154656
ERR046794	972	158953
ERR046795	988	141629
ERR046796	1024	125021
ERR046797	982	133001
ERR046798	963	149667
ERR046799	966	154881
ERR046800	977	155934
ERR046801	1023	166378
ERR046802	1037	175646
ERR046803	1037	167083
ERR046804	1045	149856
ERR046805	1041	151999
ERR046806	1049	139630
ERR046807	1052	135253
ERR046808	1049	130612
ERR046809	1058	127857
ERR046810	1044	164153
ERR046811	1040	155856
ERR046812	1009	187370
ERR046813	1013	194190
ERR046814	1021	199839
ERR046815	1020	162424
ERR046816	1061	140448
ERR046817	1072	129916
ERR046818	1063	143799
ERR046819	909	165506
ERR046820	983	144966
ERR046821	1005	140361
ERR046822	941	186514
ERR046823	1032	169108
ERR046824	1046	168769
ERR046825	908	181211
ERR046826	1018	195029
ERR046827	1052	145831
ERR046828	1029	161338
ERR046829	1046	149427
ERR046830	1047	161182
ERR046831	1003	155154
ERR046832	1010	171045
ERR046833	983	169273
ERR046834	953	180219
ERR046835	953	164841
ERR046836	966	212093
ERR046837	956	220398
ERR046838	939	183005
ERR046839	946	161889
ERR046840	917	159066
ERR046841	920	163978
ERR046842	909	173449
ERR046843	974	142372
ERR046844	1068	176439
ERR046845	1041	155647
ERR046846	1048	153579
ERR046847	1052	150096
ERR046848	1062	183300
ERR046849	1003	166968
ERR046850	1051	155660
ERR046851	953	174822
ERR046852	967	152469
ERR046853	969	158365
ERR046854	1043	147940
ERR046855	1055	150936
ERR046856	1073	142763
ERR046857	1053	151677
ERR046858	1041	160387
ERR046859	938	158432
ERR046860	1033	165961
ERR046861	1025	173766
ERR046862	1061	151645
ERR046863	1049	160455
ERR046864	985	138118
ERR046865	982	138769
ERR046866	1044	152966
ERR046867	1037	151069
ERR046868	931	153367
ERR046869	940	144115
ERR046870	997	174140
ERR046871	952	230560
ERR046872	911	198623
ERR046873	925	174553
ERR046874	906	190905
ERR046875	916	167281
ERR046876	990	141810
ERR046877	973	157353
ERR046878	983	143282
ERR046879	979	146290
ERR046880	1098	159541
ERR046881	1107	144651
ERR046882	1037	142489
ERR046883	840	145878
ERR046884	976	197122
ERR046885	974	206891
ERR046886	1068	173005
ERR046887	986	166834
ERR046888	988	156063
ERR046889	1039	152950
ERR046890	1004	152163
ERR046891	1017	149923
ERR046892	952	148066
ERR046893	1084	158042
ERR046894	1004	142678
ERR046895	1055	143636
ERR046896	1011	171148
ERR046897	951	174492
ERR046898	1068	183532
ERR046899	993	164943
ERR046900	1027	153813
ERR046901	962	161057
ERR046902	939	155176
ERR046903	999	154278
ERR046904	964	165257
ERR046905	1092	148498
ERR046906	919	160972
ERR046907	1082	158884
ERR046908	965	162086
ERR046909	1060	152546
ERR046910	945	201138
ERR046911	970	168988
ERR046912	919	162413
ERR046913	962	177738
ERR046914	1031	175972
ERR046915	1069	186265
ERR046916	905	190638
ERR046917	959	166981
ERR046918	1050	174213
ERR046919	967	167249
ERR046920	982	167521
ERR046921	1061	144971
ERR046922	990	155682
ERR046923	913	157160
ERR046924	910	157796
ERR046925	980	150966
ERR046926	982	153679
ERR046927	971	156849
ERR046928	968	164708
ERR046929	1006	150582
ERR046930	1005	147397
ERR046931	921	175879
ERR046932	997	161504
ERR046933	1074	157300
ERR046934	1062	146327
ERR046935	955	140252
ERR046936	1052	138589
ERR046937	951	160162
ERR046938	1015	174548
ERR046939	1082	143843
ERR046940	1053	149145
ERR046941	1078	149610
ERR046942	1054	152824
ERR046943	913	162268
ERR046944	999	160180
ERR046945	1066	142246
ERR046946	911	161110
ERR046947	1021	164922
ERR046948	1018	133831
ERR046949	1015	168194
ERR046950	923	152413
ERR046951	1014	136817
ERR046952	1016	135534
ERR046953	1020	133147
ERR046954	1342	222437
ERR046955	938	166969
ERR046956	1064	147087
ERR046957	953	144442
ERR046958	953	144460
ERR046959	950	149172
ERR046960	915	152218
ERR046961	1366	200126
ERR046962	917	154189
ERR046963	1022	167521
ERR046964	918	147755
ERR046965	1052	137232
ERR046966	1028	166586
ERR046967	1020	174836
ERR046968	1028	164004
ERR046969	1038	149721
ERR046970	1027	163385
ERR046971	916	159842
ERR046972	984	124819
ERR046973	957	147529
ERR046974	945	155828
ERR046975	956	125331
ERR046976	907	159320
ERR046977	1003	140886
ERR046978	1050	157191
ERR046979	1041	160121
ERR046980	897	183104
ERR046981	950	179726
ERR046982	1030	159377
ERR046983	1041	152720
ERR046984	947	140888
ERR046985	975	145183
ERR046986	898	178242
ERR046987	1055	154162
ERR046988	911	156801
ERR046989	1351	214272
ERR046990	949	154486
ERR046991	900	181072
ERR046992	942	160311
ERR046993	951	150227
ERR046994	939	163651
ERR046995	989	150511
ERR046996	940	173196
ERR046997	944	133886
ERR046998	986	150342
ERR046999	987	148166
ERR047000	924	162647
ERR047001	1065	154177
ERR047002	1058	159168
ERR047003	1042	180266
ERR047004	931	192699
ERR047005	1004	156541
ERR047006	1001	164775
ERR047007	992	183361
ERR047008	1003	156187
ERR047009	991	148274
ERR047010	952	163770
ERR047011	992	148493
ERR047012	957	164389
ERR047013	952	154797
ERR047014	993	185132
ERR047015	998	152124
ERR047016	996	172279
ERR072013	987	141044
ERR072014	1051	151811
ERR072015	1027	203913
ERR072016	960	169825
ERR072017	917	150590
ERR072018	1077	125910
ERR072019	1004	136068
ERR072020	923	150325
ERR072021	1063	142421
ERR072022	1058	148068
ERR072023	1034	147935
ERR072024	1042	139664
ERR072025	1086	142178
ERR072026	1015	151639
ERR072027	1056	168665
ERR072028	939	150041
ERR072029	1087	137676
ERR072030	994	170940
ERR072031	1061	137958
ERR072032	1056	140943
ERR072033	981	326136
ERR072034	920	152848
ERR072035	1001	136448
ERR072036	920	148780
ERR072037	971	137674
ERR072038	961	142368
ERR072039	952	130775
ERR072040	1027	138645
ERR072041	996	133106
ERR072042	983	140085
ERR072043	1046	132498
ERR072044	986	138583
ERR072045	993	136208
ERR072046	979	146618
ERR072047	986	139014
ERR072048	989	143152
ERR072049	917	164473
ERR072050	974	152323
ERR072051	978	152772
ERR072052	1055	138911
ERR072053	915	158208
ERR072054	1039	135018
ERR072055	1036	124686
ERR072056	1047	135338
ERR072057	842	130528
ERR072058	854	125165
ERR072059	1081	146532
ERR072060	1043	145917
ERR072061	927	427570
ERR072062	1025	151378
ERR072063	1027	156430
ERR072064	1077	144062
ERR072065	1050	141743
ERR072066	1026	139651
ERR072067	1057	135220
ERR072068	1054	133988
ERR072069	1055	137452
ERR072070	1104	128243
ERR072071	1054	138046
ERR072072	1078	155671
ERR072073	1023	165865
ERR072074	1034	162801
ERR072075	1027	154796
ERR072076	1073	157107
ERR072077	1054	143134
ERR072078	1093	138867
ERR072079	1040	150384
ERR072080	1044	151665
ERR072081	1088	144083
ERR072082	1006	138193
ERR072083	1009	142100
ERR072084	1039	134642
ERR072085	1043	132007
ERR072086	1050	155506
ERR072087	985	144508
ERR072088	972	133596
ERR072089	982	121688
ERR072090	988	121574
ERR072091	1070	121600
ERR072092	1101	126277
ERR072093	999	124887
ERR072094	1070	124564
ERR072095	995	142883
ERR072096	983	154061
ERR072097	1084	139977
ERR072098	945	157331
ERR072099	1079	124189
ERR072100	955	120463
ERR072101	1052	132123
ERR072102	1065	138928
ERR072103	1090	140219
ERR072104	953	144976
ERR072105	975	145684
ERR072106	999	144592
ERR072107	966	189903
ERR072108	1046	146354
ERR1063831	1165	119642
ERR1063832	1236	77830
ERR1063833	1142	122383
ERR1063834	1254	95810
ERR1063835	1231	75599
ERR1063836	1219	85350
ERR1063837	1120	121261
ERR1063838	1245	100540
ERR1063839	1165	207182
ERR1063840	1313	94061
ERR1063841	1264	99952
ERR1063842	1157	67825
ERR1063843	1098	91707
ERR1063844	1246	78970
ERR1063845	1236	100832
ERR1063846	26373	4175334
ERR1063847	1197	85149
ERR1063848	1134	122477
ERR1063849	31443	4134401
ERR1063850	1126	120877
ERR1063851	1220	83429
ERR1063852	1167	128133
ERR1063853	1142	120147
ERR1063854	1268	84461
ERR1063855	5048	4360800
ERR1063856	60151	3893555
ERR1063857	37050	4088146
ERR1063858	32955	4125099
ERR1063859	32232	4132651
ERR1063860	1234	75422
ERR1063861	1311	93379
ERR1063862	33260	4124685
ERR1063863	1131	122426
ERR1063864	1112	122898
ERR1063865	1328	90876
ERR1063866	1144	90958
ERR1063867	1260	100050
ERR1063868	1139	122247
ERR1063869	1132	122345
ERR1063870	1299	93918
ERR1063871	1155	123137
ERR1063872	1137	125085
ERR1063873	1136	125731
ERR1063874	1110	134753
ERR1063875	1093	80838
ERR1063876	1135	92026
ERR1063877	1134	91816
ERR1063878	1101	125412
ERR1063879	1148	72749
ERR1063880	1269	95790
ERR1063881	1113	123564
ERR1063882	1114	130982
ERR1063883	19038	4235098
ERR1063884	1268	87690
ERR1063885	1132	80312
ERR1063886	1130	123103
ERR1063887	1106	124312
ERR1063888	1208	98377
ERR1063889	1112	123248
ERR1063890	1203	85329
ERR1063891	1216	103539
ERR1063892	1203	86596
ERR1063893	1237	81736
ERR1063894	1109	89509
ERR1063895	1118	81594
ERR1063896	5200	4209291
ERR1082123	1204	94689
ERR1082130	1337	127953
ERR114421	1048	105212
ERR114422	1048	100536
ERR114423	1151	88693
ERR114424	1152	99009
ERR114425	1102	100423
ERR114426	1049	98996
ERR114427	1163	111266
ERR114428	1096	106955
ERR114429	1144	102154
ERR114430	1141	93684
ERR114431	1049	111577
ERR114432	1108	95211
ERR114433	1125	98407
ERR114434	1034	114538
ERR114435	1133	117977
ERR114436	1139	119426
ERR114437	1102	100558
ERR114438	1026	106561
ERR114439	1104	104014
ERR114440	1159	103504
ERR114441	1125	98971
ERR114442	1203	95080
ERR114443	1141	91104
ERR114444	1178	90663
ERR114445	1166	94851
ERR114446	1101	101748
ERR114447	1058	102181
ERR114448	1119	109610
ERR114449	1026	97242
ERR114450	1041	132260
ERR114451	1052	129354
ERR114452	1114	100833
ERR114453	1155	90264
ERR114454	1151	96753
ERR114455	1134	102964
ERR114456	1092	94951
ERR114457	1143	115139
ERR114458	1089	79772
ERR114459	1036	108285
ERR114460	1130	101782
ERR114461	1075	92982
ERR114462	1141	100464
ERR114463	1060	102438
ERR114464	1069	98926
ERR114465	465	87694
ERR114466	838	86275
ERR114467	1133	112650
ERR114468	1123	100769
ERR114469	1048	104910
ERR114470	1143	100844
ERR114471	1148	99060
ERR114472	1175	94824
ERR114473	1162	97089
ERR114474	1087	136578
ERR114475	1161	90075
ERR114476	1179	99994
ERR114477	1042	91778
ERR114478	981	115671
ERR114479	977	117994
ERR114480	1145	95858
ERR114481	1161	98564
ERR114482	1177	98955
ERR114483	1137	93699
ERR114484	995	95913
ERR114485	1148	112889
ERR114486	1165	96791
ERR114487	1063	102673
ERR114488	1152	119871
ERR114489	1128	95916
ERR114490	1129	97112
ERR114491	993	116930
ERR114492	1034	100720
ERR114493	1171	102321
ERR114494	1174	88953
ERR114495	1045	102801
ERR114496	1074	96860
ERR114497	1023	102919
ERR114498	1101	93400
ERR114499	1007	88518
ERR114500	1156	97775
ERR114501	1064	101994
ERR114502	1163	96410
ERR114503	1117	86897
ERR114504	1158	97856
ERR114505	1147	126713
ERR114506	1174	96881
ERR114507	1064	139475
ERR114508	1117	99281
ERR114509	1188	96220
ERR114510	1173	96493
ERR114511	1139	90740
ERR114512	1152	93828
ERR114513	1150	95168
ERR114514	1140	118155
ERR114515	1165	91069
ERR114516	1092	88536
ERR117615	1050	106016
ERR117616	1088	91547
ERR117617	1173	109400
ERR117618	1145	105444
ERR117619	785	124317
ERR117620	799	89160
ERR117621	1154	95249
ERR117622	1208	86249
ERR117623	1120	89084
ERR117624	973	125882
ERR117625	1166	94523
ERR117626	930	91836
ERR117627	1192	106946
ERR117628	1104	92771
ERR117629	1052	106842
ERR117630	772	109091
ERR117631	963	102978
ERR117632	1138	92759
ERR117633	1053	87824
ERR117634	1035	118027
ERR117635	1034	107517
ERR117636	1004	89798
ERR117637	1150	106003
ERR117638	1003	91391
ERR117639	124	83702
ERR117640	1143	97437
ERR117641	1109	105564
ERR117642	1024	93187
ERR117643	1092	94724
ERR117644	1070	138947
ERR117645	995	107277
ERR117646	1036	94292
ERR117647	1088	93747
ERR117648	1150	88193
ERR117649	1143	88460
ERR117650	1077	106563
ERR117651	1142	109554
ERR117652	1139	103846
ERR117653	1068	111896
ERR117654	1080	110183
ERR117655	1085	106513
ERR117656	1033	105485
ERR117657	875	113198
ERR117658	1170	95421
ERR117659	984	86348
ERR117660	514	86332
ERR117661	1121	90758
ERR117662	1094	96366
ERR117663	1137	115740
ERR117664	1131	104877
ERR117665	1105	103949
ERR117666	1199	92252
ERR117667	1117	93862
ERR117668	1041	103521
ERR117669	1141	96086
ERR117670	1004	96476
ERR117671	1125	90537
ERR117672	1133	88684
ERR117673	1141	95281
ERR117674	1173	88166
ERR117675	1123	100782
ERR117676	1051	95698
ERR117677	1088	99742
ERR117678	1182	105002
ERR117679	1096	104039
ERR117680	1131	106777
ERR117681	1013	103623
ERR117682	1054	107924
ERR117683	1136	94770
ERR117684	1169	93016
ERR117685	1131	89212
ERR117686	1039	126284
ERR117687	1103	118090
ERR117688	1067	102010
ERR117689	1065	99602
ERR117690	1102	92521
ERR117691	1059	112018
ERR117692	1037	94449
ERR117693	981	114006
ERR117694	1143	113105
ERR117695	1163	110977
ERR117696	1176	86063
ERR117697	1168	85888
ERR117698	0	4411532
ERR117699	1115	99718
ERR117700	1051	104068
ERR117701	1079	96440
ERR117702	1025	98925
ERR117703	1132	102287
ERR117704	1157	110585
ERR117705	1064	98647
ERR117706	1131	107783
ERR117707	1159	111129
ERR117708	1121	90958
ERR117709	1122	93884
ERR117710	154	89098
ERR117711	1145	86808
ERR117712	1152	85901
ERR117713	1151	89512
ERR117714	1191	92542
ERR117715	1177	108215
ERR117716	1171	113964
ERR117717	1139	101559
ERR117718	1240	92916
ERR117719	1186	99799
ERR117720	1188	95427
ERR117721	1197	90671
ERR117722	1190	111575
ERR117723	1116	141616
ERR117724	1193	91797
ERR117725	1217	86351
ERR117726	1054	92877
ERR117727	1193	103326
ERR117728	1092	95719
ERR117729	1250	94453
ERR117730	1109	134582
ERR117731	1106	98725
ERR117732	1105	94913
ERR117733	1209	87095
ERR117734	1246	84779
ERR117735	1179	111748
ERR117736	1079	97630
ERR117737	1192	109891
ERR1203055	1296	93234
ERR1215476	1207	104989
ERR123904	1065	104656
ERR123905	1096	81071
ERR123906	1114	91690
ERR123907	1151	96893
ERR123908	1164	125551
ERR123909	1100	107576
ERR123910	1132	117053
ERR123911	1058	133984
ERR123912	1149	106215
ERR123913	1144	103792
ERR123914	1146	97725
ERR123915	1050	130093
ERR123916	1040	111303
ERR123917	1137	95219
ERR123918	1060	98146
ERR123919	1117	91690
ERR123920	1077	97919
ERR123921	1105	113657
ERR123922	1151	90753
ERR123923	1032	100740
ERR123924	1038	100213
ERR123925	1151	115359
ERR123926	1021	92776
ERR123927	1033	92848
ERR123928	1147	105585
ERR123929	1049	105043
ERR123930	1101	103424
ERR123931	1067	96660
ERR123932	1128	100137
ERR123933	1159	112838
ERR123934	1114	102686
ERR123935	1093	102168
ERR123936	1119	98995
ERR123937	1155	96301
ERR123938	1161	106196
ERR123939	1117	110380
ERR123940	1162	108373
ERR123941	1087	95163
ERR123942	1017	96595
ERR123943	1183	110950
ERR123944	1102	92911
ERR123945	1105	95931
ERR123946	1053	118211
ERR123947	1133	107583
ERR123948	163	89053
ERR123949	115	86618
ERR123950	1162	90872
ERR123951	1068	94733
ERR124634	1113	137295
ERR124635	1075	132935
ERR124636	23896	4177243
ERR124637	1110	134501
ERR124638	1084	127239
ERR124639	1102	134386
ERR124640	1245	103562
ERR124641	1097	92419
ERR124642	88266	3549439
ERR124643	1068	133075
ERR124644	1079	133346
ERR124645	1187	100130
ERR124646	1172	101871
ERR124647	1067	136285
ERR124648	1069	135161
ERR124649	1100	133907
ERR124650	1077	144891
ERR124651	92968	3526941
ERR124652	89648	3555146
ERR126597	1071	105317
ERR126598	1188	88722
ERR126599	1049	94241
ERR126600	88828	3543756
ERR126601	1047	101805
ERR126602	1209	94988
ERR126603	1055	110352
ERR126604	1196	86331
ERR126605	1239	104233
ERR126606	1174	116281
ERR126607	1177	93004
ERR126608	84175	3585026
ERR126609	1049	132562
ERR126610	1114	82416
ERR126611	1100	85412
ERR126612	1022	90334
ERR126613	1064	131788
ERR126614	1074	136471
ERR126615	1074	135062
ERR126616	1175	87135
ERR126617	1194	90588
ERR126618	84929	3585946
ERR126619	1062	94316
ERR126620	1169	94994
ERR126621	1184	106616
ERR126622	1094	137385
ERR126623	1075	132934
ERR126624	1068	141325
ERR126625	1092	131233
ERR126626	1052	141515
ERR126627	1102	130581
ERR126628	1106	130687
ERR126629	1094	130882
ERR126630	1098	132206
ERR126631	1244	101769
ERR126632	1048	87617
ERR126633	1188	85693
ERR126634	1023	120694
ERR126635	1113	80530
ERR126636	1197	85715
ERR126637	1105	130060
ERR126638	1068	101580
ERR126639	1198	86413
ERR126640	1214	89340
ERR126641	491	81044
ERR126642	955	96850
ERR126643	1071	89037
ERR126644	1208	87851
ERR161012	1056	131658
ERR161013	1084	136896
ERR161014	557	1691727
ERR161015	1089	132159
ERR161016	1054	134159
ERR161017	1054	136616
ERR161018	1079	148134
ERR161019	1151	105843
ERR161020	1074	139486
ERR161021	1110	136054
ERR161022	1050	138819
ERR161023	1076	132103
ERR161024	851	108756
ERR161025	1055	134489
ERR161026	260	90396
ERR161027	721	116131
ERR161028	1017	91215
ERR161029	1058	136566
ERR161030	1043	126997
ERR161031	1205	106829
ERR161032	1047	139393
ERR161033	38632	3786260
ERR161034	999	251088
ERR161035	1049	143293
ERR161036	995	112899
ERR161037	47457	3942333
ERR161038	1023	136571
ERR161039	881	266269
ERR161040	1153	90331
ERR161041	1057	141579
ERR161042	1121	83875
ERR161043	1058	134136
ERR161044	1438	165322
ERR161045	986	150542
ERR161046	1063	135314
ERR161047	1069	89653
ERR161048	1399	181266
ERR161049	745	132369
ERR161050	453	108708
ERR161051	1055	105154
ERR161052	1102	86837
ERR161053	1158	90424
ERR161054	1031	91069
ERR161055	1079	89516
ERR161056	1044	146285
ERR161057	1043	135863
ERR161058	1030	96496
ERR161059	1183	110048
ERR161060	1067	132979
ERR161061	1170	91109
ERR161062	1147	97788
ERR161063	1232	107393
ERR161064	1141	91474
ERR161065	1166	94329
ERR161066	1109	80986
ERR161067	1100	82224
ERR161068	1063	133319
ERR161069	1047	141421
ERR161070	1049	135156
ERR161071	241	83501
ERR161072	1160	91883
ERR161073	1051	139918
ERR161074	1050	136034
ERR161075	1060	144734
ERR161076	1057	137306
ERR161077	119	87336
ERR161078	124	86653
ERR161079	1140	99350
ERR161080	1060	135976
ERR161081	1025	135117
ERR161082	1169	90321
ERR161083	1187	89328
ERR161084	801	84420
