strain_id	isolate_id
shanmugam2021_P30_lineage1.1.2_strain1	SRR11348162
shanmugam2021_P34_lineage1.1.2_strain1	SRR11348153
shanmugam2021_P41_lineage1.1.2_strain1	SRR11348140
walker2013_P000033_lineage1.1.2_strain1	ERR046900
walker2013_P000056_lineage1.1.2_strain1	ERR046915
walker2013_P000180_lineage1.1.2_strain1	ERR046856
walker2013_P000202_lineage1.1.2_strain1	ERR046891
walker2013_P000268_lineage1.1.2_strain1	ERR047002
walker2018b_ 890166_lineage1.1.3.1_strain1	ERR2516881
walker2018b_ 976009_lineage1.1.2_strain1	ERR2517103
walker2018b_1336836_lineage1.1.2_strain1	ERR2516997
clark2013_A70196_lineage1.1.2_strain1	ERR040121
guerra2014_KPS_38_lineage1.1.3.2_strain1	ERR182054
guerra2014_KPS_57_lineage1.1.2_strain1	ERR126602
guerra2014_KPS_61_lineage1.1.2_strain1	ERR176757
nimmo2020_R0013_lineage1.1.3.2_strain1	SRR10315577
shanmugam2021_P03_lineage1.1.2_strain1	SRR11348182
shanmugam2021_P05_lineage1.1.2_strain1	SRR11348135
shanmugam2021_P06_lineage1.1.2_strain1	SRR11348214
shanmugam2021_P10_lineage1.1.2_strain1	SRR11348206
shanmugam2021_P13_lineage1.1.2_strain1	SRR11348199
shanmugam2021_P14_lineage1.1.2_strain1	SRR11348197
shanmugam2021_P22_lineage1.1.2_strain1	SRR11348179
shanmugam2021_P24_lineage1.1.2_strain1	SRR11348175
shanmugam2021_P33_lineage1.1.2_strain1	SRR11348154
shanmugam2021_P37_lineage1.1.2_strain1	SRR11348144
shanmugam2021_P38_lineage1.1.2_strain1	SRR11348142
shanmugam2021_P39_lineage1.1.2_strain1	SRR11348137
UNKNOWN8759_lineage1.1.3.3_strain1	ERR4553411
UNKNOWN8762_lineage1.1.3.1_strain1	ERR4553414
UNKNOWN8764_lineage1.1.3.1_strain1	ERR4553416
UNKNOWN8767_lineage1.1.2_strain1	ERR4553420
UNKNOWN8769_lineage1.1.3.1_strain1	ERR4553422
UNKNOWN8780_lineage1.1.3.1_strain1	ERR4553435
UNKNOWN8781_lineage1.1.2_strain1	ERR4553437
UNKNOWN8792_lineage1.1.3.1_strain1	ERR4553452
UNKNOWN8802_lineage1.1.3.1_strain1	ERR4553464
UNKNOWN8807_lineage1.1.3.1_strain1	ERR4553469
UNKNOWN8811_lineage1.1.3_strain1	ERR4553473
UNKNOWN8816_lineage1.1.3.1_strain1	ERR4553479
UNKNOWN8819_lineage1.1.3.1_strain1	ERR4553484
UNKNOWN8825_lineage1.1.3.1_strain1	ERR4553490
UNKNOWN8827_lineage1.1.3.1_strain1	ERR4553493
UNKNOWN8835_lineage1.1.3.1_strain1	ERR4553503
UNKNOWN8837_lineage1.1.3.1_strain1	ERR4553505
UNKNOWN8839_lineage1.1.3.1_strain1	ERR4553509
UNKNOWN8858_lineage1.1.3.1_strain1	ERR4553530
UNKNOWN8867_lineage1.1.3.1_strain1	ERR4553541
UNKNOWN8894_lineage1.1.3.1_strain1	ERR4553573
UNKNOWN8905_lineage1.1.3.1_strain1	ERR4553587
UNKNOWN8909_lineage1.1.3.1_strain1	ERR4553592
UNKNOWN8911_lineage1.1.3.1_strain1	ERR4553594
UNKNOWN8916_lineage1.1.2_strain1	ERR4553600
UNKNOWN8917_lineage1.1.3.1_strain1	ERR4553601
UNKNOWN8921_lineage1.1.3.3_strain1	ERR4553605
UNKNOWN8923_lineage1.1.3.1_strain1	ERR4553607
UNKNOWN8925_lineage1.1.2_strain1	ERR4553610
UNKNOWN8927_lineage1.1.3.1_strain1	ERR4553612
UNKNOWN8928_lineage1.1.3.1_strain1	ERR4553615
UNKNOWN8930_lineage1.1.2_strain1	ERR4553617
UNKNOWN8935_lineage1.1.3_strain1	ERR4553622
UNKNOWN8940_lineage1.1.3_strain1	ERR4553628
UNKNOWN8943_lineage1.1.3.1_strain1	ERR4553632
UNKNOWN8954_lineage1.1.3.1_strain1	ERR4553648
UNKNOWN8957_lineage1.1.3.1_strain1	ERR4553651
UNKNOWN8961_lineage1.1.3.1_strain1	ERR4553655
UNKNOWN8984_lineage1.1.2_strain1	ERR4553685
UNKNOWN8985_lineage1.1.3.1_strain1	ERR4553686
UNKNOWN8996_lineage1.1.2_strain1	ERR4553697
UNKNOWN8997_lineage1.1.3.1_strain1	ERR4553698
UNKNOWN9005_lineage1.1.3.1_strain1	ERR4553707
UNKNOWN9016_lineage1.1.3.1_strain1	ERR4553719
UNKNOWN9024_lineage1.1.3.1_strain1	ERR4553727
UNKNOWN9032_lineage1.1.3.1_strain1	ERR4553736
UNKNOWN9035_lineage1.1.2_strain1	ERR4553739
UNKNOWN9036_lineage1.1.3.3_strain1	ERR4553740
UNKNOWN9037_lineage1.1.3.1_strain1	ERR4553741
UNKNOWN9040_lineage1.1.2_strain1	ERR4553744
UNKNOWN9041_lineage1.1.2_strain1	ERR4553746
UNKNOWN9045_lineage1.1.2_strain1	ERR4553750
UNKNOWN9052_lineage1.1.3.1_strain1	ERR4553757
UNKNOWN9055_lineage1.1.3_strain1	ERR4553760
UNKNOWN9060_lineage1.1.3.1_strain1	ERR4553766
UNKNOWN9070_lineage1.1.2_strain1	ERR4553776
UNKNOWN9072_lineage1.1.3.1_strain1	ERR4553779
UNKNOWN9075_lineage1.1.3_strain1	ERR4553782
UNKNOWN9076_lineage1.1.3.1_strain1	ERR4553783
UNKNOWN9078_lineage1.1.3.1_strain1	ERR4553785
UNKNOWN9090_lineage1.1.3.1_strain1	ERR4553797
UNKNOWN9097_lineage1.1.3.1_strain1	ERR4553805
UNKNOWN9100_lineage1.1.3.1_strain1	ERR4553808
UNKNOWN9111_lineage1.1.3.1_strain1	ERR4553820
UNKNOWN9113_lineage1.1.2_strain1	ERR4553822
UNKNOWN9128_lineage1.1.3_strain1	ERR4553839
UNKNOWN9130_lineage1.1.3.1_strain1	ERR4553843
UNKNOWN9141_lineage1.1.3.1_strain1	ERR4553854
UNKNOWN9145_lineage1.1.3.1_strain1	ERR4553858
UNKNOWN9156_lineage1.1.2_strain1	ERR4553871
UNKNOWN9158_lineage1.1.3.1_strain1	ERR4553873
UNKNOWN9165_lineage1.1.3.1_strain1	ERR4553881
UNKNOWN9169_lineage1.1.3.1_strain1	ERR4553905
UNKNOWN9172_lineage1.1.2_strain1	ERR4553908
UNKNOWN9173_lineage1.1.3.1_strain1	ERR4553910
UNKNOWN9180_lineage1.1.2_strain1	ERR4553925
UNKNOWN9193_lineage1.1.3.1_strain1	ERR4553952
UNKNOWN9200_lineage1.1.2_strain1	ERR4553964
UNKNOWN9201_lineage1.1.2_strain1	ERR4553965
walker2018b_06TB_0317_lineage1.1.2_strain1	ERR2510758
walker2018b_06TB_0332_lineage1.1.2_strain1	ERR2510773
walker2018b_1115515_lineage1.1.3.2_strain1	ERR2517018
walker2018b_1144875_lineage1.1.2_strain1	ERR2516803
walker2018b_1171901_lineage1.1.2_strain1	ERR2516786
walker2018b_1297947_lineage1.1.2_strain1	ERR2516870
walker2018b_1303711_lineage1.1.2_strain1	ERR2517113
walker2018b_1440242_lineage1.1.2_strain1	ERR2516864
walker2018b_BVH_0004-14_lineage1.1.2_strain1	ERR2510429
walker2018b_BVH_0021-14_lineage1.1.2_strain1	ERR2510244
walker2018b_JHL_0021-14_lineage1.1.2_strain1	ERR2510266
walker2018b_JHL_0037-14_lineage1.1.2_strain1	ERR2510366
walker2018b_MHL_0136-14_lineage1.1.2_strain1	ERR2510316
walker2018b_MHL_0227-14_lineage1.1.2_strain1	ERR2510593
walker2018b_NHM_0304-14_lineage1.1.2_strain1	ERR2510605
walker2018b_RIVM_114_lineage1.1.3.1_strain1	ERR2517508
walker2018b_RIVM_124_lineage1.1.1_strain1	ERR2517437
walker2018b_RIVM_136_lineage1.1.2_strain1	ERR2517330
walker2018b_RIVM_140_lineage1.1.2_strain1	ERR2517211
walker2018b_RIVM_212_lineage1.1.1_strain1	ERR2517642
walker2018b_RIVM_253_lineage1.1.2_strain1	ERR2517652
walker2018b_RIVM_309_lineage1.1.3.2_strain1	ERR2517288
walker2018b_RIVM_353_lineage1.1.2_strain1	ERR2517556
walker2018b_RIVM_375_lineage1.1.1_strain1	ERR2517617
walker2018b_RIVM_413_lineage1.1.1_strain1	ERR2517276
walker2018b_RIVM_428_lineage1.1.2_strain1	ERR2517613
walker2018b_RIVM_440_lineage1.1.1_strain1	ERR2517233
walker2018b_RIVM_480_lineage1.1.3.3_strain1	ERR2517197
walker2018b_RIVM_512_lineage1.1.2_strain1	ERR2517619
walker2018b_RIVM_536_lineage1.1.3.1_strain1	ERR2517287
walker2018b_RIVM_560_lineage1.1.3_strain1	ERR2517477
walker2018b_RIVM_582_lineage1.1.1.1_strain1	ERR2517624
walker2018b_RIVM_79_lineage1.1.3.2_strain1	ERR2517302
walker2018b_RLH_0309-14_lineage1.1.2_strain1	ERR2510553
walker2018b_RLH_0310-14_lineage1.1.2_strain1	ERR2510554
walker2018b_RLH_0312-14_lineage1.1.2_strain1	ERR2510557
walker2018b_SGD_0011-14_lineage1.1.2_strain1	ERR2510338
walker2018b_SGD_0014-14_lineage1.1.2_strain1	ERR2510313
walker2018b_SGD_0046-14_lineage1.1.3.3_strain1	ERR2510700
walker2018b_SKT_0005-14_lineage1.1.2_strain1	ERR2510649
walker2018b_SZH_0013-14_lineage1.1.2_strain1	ERR2510416
black2015_9_lineage1.2.2.2_strain1	ERR985421
cox2021_5812906022165160734_lineage1.2.2.2_strain1	ERR6052078
nimmo2020_K0084_lineage1.2.2.1_strain1	SRR9971083
nimmo2020_P0163_lineage1.2.2.2_strain1	SRR10315601
shanmugam2021_P02_lineage1.2.2.2_strain1	SRR11348193
walker2013_P000009_lineage1.2.2.1_strain1	ERR046848
walker2013_P000062_lineage1.2.2.1_strain1	ERR038258
walker2013_P000064_lineage1.2.2.1_strain1	ERR046844
walker2013_P000219_lineage1.2.2.2_strain1	ERR046880
walker2018b_1012082_lineage1.2.2.1_strain1	ERR2516802
walker2018b_1546342_lineage1.2.1.2.1_strain1	ERR2516789
walker2018b_RIVM_214_lineage1.2.2.2_strain1	ERR2517185
black2015_9_lineage1.2.2.2_strain1	ERR985426
cox2021_5812906022165160734_lineage1.2.2.2_strain1	ERR6052088
nimmo2020_K0084_lineage1.2.2.1_strain1	SRR9971118
nimmo2020_P0163_lineage1.2.2.2_strain1	SRR10315602
shanmugam2021_P02_lineage1.2.2.2_strain1	SRR11348204
walker2013_P000009_lineage1.2.2.1_strain1	ERR046898
walker2013_P000062_lineage1.2.2.1_strain1	ERR038259
walker2013_P000064_lineage1.2.2.1_strain1	ERR046893
walker2013_P000219_lineage1.2.2.2_strain1	ERR046881
walker2018b_1012082_lineage1.2.2.1_strain1	ERR2517086
walker2018b_1546342_lineage1.2.1.2.1_strain1	ERR2516892
walker2018b_RIVM_214_lineage1.2.2.2_strain1	ERR2517195
cox2021_-283408574231326336_lineage1.2.2.2_strain1	ERR6361972
cox2021_-5382999238453530645_lineage1.2.2.2_strain1	ERR6361967
guerra2014_KPS_47_lineage1.2.2.2_strain1	ERR736807
guerra2014_KPS_9_lineage1.2.2.2_strain1	ERR212054
nimmo2020_H0048_lineage1.2.2.2_strain1	SRR10315712
nimmo2020_H0113_lineage1.2.2.2_strain1	SRR10315739
nimmo2020_H0173_lineage1.2.2.2_strain1	SRR10315643
nimmo2020_H0179_lineage1.2.2.1_strain1	SRR10315632
nimmo2020_K0035_lineage1.2.2.2_strain1	SRR10315459
nimmo2020_P0096_lineage1.2.2.2_strain1	SRR10315613
nimmo2020_R0015_lineage1.2.2.1_strain1	SRR10315571
shanmugam2021_P29_lineage1.2.2.2_strain1	SRR11348163
UNKNOWN8770_lineage1.2.2.2_strain1	ERR4553423
UNKNOWN8772_lineage1.2.2.2_strain1	ERR4553425
UNKNOWN8778_lineage1.2.2.2_strain1	ERR4553433
UNKNOWN8829_lineage1.2.2.2_strain1	ERR4553496
UNKNOWN8833_lineage1.2.2.2_strain1	ERR4553501
UNKNOWN8848_lineage1.2.2_strain1	ERR4553518
UNKNOWN8853_lineage1.2.2.2_strain1	ERR4553525
UNKNOWN8855_lineage1.2.2.2_strain1	ERR4553527
UNKNOWN8875_lineage1.2.2.2_strain1	ERR4553550
UNKNOWN8878_lineage1.2.2.2_strain1	ERR4553553
UNKNOWN8880_lineage1.2.2.2_strain1	ERR4553555
UNKNOWN8883_lineage1.2.2.2_strain1	ERR4553558
UNKNOWN8900_lineage1.2.2.2_strain1	ERR4553581
UNKNOWN8901_lineage1.2.2.2_strain1	ERR4553582
UNKNOWN8903_lineage1.2.2.2_strain1	ERR4553584
UNKNOWN8913_lineage1.2.2.2_strain1	ERR4553597
UNKNOWN8951_lineage1.2.2.2_strain1	ERR4553643
UNKNOWN9004_lineage1.2.2.2_strain1	ERR4553706
UNKNOWN9009_lineage1.2.2.2_strain1	ERR4553711
UNKNOWN9023_lineage1.2.2.2_strain1	ERR4553726
UNKNOWN9029_lineage1.2.2.2_strain1	ERR4553732
UNKNOWN9046_lineage1.2.2.2_strain1	ERR4553751
UNKNOWN9049_lineage1.2.2.2_strain1	ERR4553754
UNKNOWN9056_lineage1.2.2.2_strain1	ERR4553761
UNKNOWN9065_lineage1.2.2.2_strain1	ERR4553771
UNKNOWN9066_lineage1.2.2.2_strain1	ERR4553772
UNKNOWN9074_lineage1.2.2.2_strain1	ERR4553781
UNKNOWN9081_lineage1.2.2.2_strain1	ERR4553788
UNKNOWN9082_lineage1.2.2.2_strain1	ERR4553789
UNKNOWN9085_lineage1.2.2.2_strain1	ERR4553792
UNKNOWN9105_lineage1.2.2.2_strain1	ERR4553814
UNKNOWN9148_lineage1.2.2.2_strain1	ERR4553861
UNKNOWN9149_lineage1.2.2.2_strain1	ERR4553862
walker2013_P000207_lineage1.2.2.2_strain1	ERR046823
walker2013_P000208_lineage1.2.2.2_strain1	ERR046824
walker2013_P000209_lineage1.2.2.2_strain1	ERR046945
walker2013_P000210_lineage1.2.2.2_strain1	ERR046850
walker2018b_ 642142_lineage1.2.2.1_strain1	ERR2516896
walker2018b_ 883340_lineage1.2.2.1_strain1	ERR2516751
walker2018b_ 900371_lineage1.2.2.2_strain1	ERR2516929
walker2018b_ 903149_lineage1.2.2.2_strain1	ERR2517066
walker2018b_ 931437_lineage1.2.2.2_strain1	ERR2516912
walker2018b_ 941317_lineage1.2.2.2_strain1	ERR2517078
walker2018b_ 990891_lineage1.2.2.2_strain1	ERR2516828
walker2018b_06TB_0346_lineage1.2.2.2_strain1	ERR2510787
walker2018b_06TB_0347_lineage1.2.1.2_strain1	ERR2510788
walker2018b_06TB_0368_lineage1.2.1.2.1_strain1	ERR2510809
walker2018b_1050126_lineage1.2.1.2_strain1	ERR2517121
walker2018b_1077688_lineage1.2.2.2_strain1	ERR2517082
walker2018b_1107124_lineage1.2.1.2_strain1	ERR2516771
walker2018b_1138717_lineage1.2.2.2_strain1	ERR2516819
walker2018b_1278678_lineage1.2.1.1_strain1	ERR2517031
walker2018b_1279338_lineage1.2.1.2.1_strain1	ERR2517104
walker2018b_1283310_lineage1.2.1.2.1_strain1	ERR2517124
walker2018b_1443889_lineage1.2.1.2.1_strain1	ERR2516753
walker2018b_1579565_lineage1.2.2.1_strain1	ERR2516948
walker2018b_RIVM_125_lineage1.2.1.2.1_strain1	ERR2517313
walker2018b_RIVM_128_lineage1.2.1.2.1_strain1	ERR2517270
walker2018b_RIVM_13_lineage1.2.1.1_strain1	ERR2517237
walker2018b_RIVM_141_lineage1.2.1.2.1_strain1	ERR2517295
walker2018b_RIVM_144_lineage1.2.1.1_strain1	ERR2517163
walker2018b_RIVM_171_lineage1.2.1.1_strain1	ERR2517440
walker2018b_RIVM_219_lineage1.2.2.2_strain1	ERR2517250
walker2018b_RIVM_241_lineage1.2.1.2.1_strain1	ERR2517454
walker2018b_RIVM_245_lineage1.2.2.2_strain1	ERR2517410
walker2018b_RIVM_246_lineage1.2.1.2_strain1	ERR2517226
walker2018b_RIVM_257_lineage1.2.1.2.1_strain1	ERR2517415
walker2018b_RIVM_264_lineage1.2.1.2.1_strain1	ERR2517546
walker2018b_RIVM_267_lineage1.2.1.2.1_strain1	ERR2517293
walker2018b_RIVM_335_lineage1.2.1.2.1_strain1	ERR2517405
walker2018b_RIVM_354_lineage1.2.1.2.1_strain1	ERR2517604
walker2018b_RIVM_363_lineage1.2.2.1_strain1	ERR2517381
walker2018b_RIVM_445_lineage1.2.1.2.1_strain1	ERR2517395
walker2018b_RIVM_472_lineage1.2.1.1_strain1	ERR2517196
walker2018b_RIVM_493_lineage1.2.2.2_strain1	ERR2517239
walker2018b_RIVM_502_lineage1.2.1.1_strain1	ERR2517306
walker2018b_RIVM_509_lineage1.2.1.1_strain1	ERR2517641
walker2018b_RIVM_527_lineage1.2.1.2.1_strain1	ERR2517183
walker2018b_RIVM_53_lineage1.2.1.2.1_strain1	ERR2517281
walker2018b_RIVM_540_lineage1.2.1.1_strain1	ERR2517538
walker2018b_RIVM_541_lineage1.2.1.1_strain1	ERR2517328
walker2018b_RIVM_557_lineage1.2.1.2.1_strain1	ERR2517566
walker2018b_RIVM_569_lineage1.2.1.1_strain1	ERR2517297
walker2018b_RIVM_6_lineage1.2.1.2.1_strain1	ERR2517469
walker2018b_RIVM_82_lineage1.2.2.1_strain1	ERR2517374
walker2018b_RIVM_99_lineage1.2.1.2.1_strain1	ERR2517542
walker2018b_RLH_0058-15R_lineage1.2.2.2_strain1	ERR2510255
walker2018b_SZH_0021-14_lineage1.2.2.2_strain1	ERR2510448
walker2018b_SZH_0037-14_lineage1.2.2.2_strain1	ERR2510512
01397178-fa4b-446d-80ea-ed8b35e6448d_lineage2.2.1_strain1	SRR13232492
01397178-fa4b-446d-80ea-ed8b35e6448d_lineage2.2.1_strain1	SRR13232493
0360dd8c-8f35-4cfe-bc74-8209bf62a749_lineage2.2.1_strain1	SRR10380021
04279764-7a97-45c4-a6d6-b12fda1fb0f8_lineage2.2.1_strain1	SRR1158929
06b091f4-d2cd-4a44-9e5f-1ccdca71dd71_lineage2.2.1_strain1	SRR3743373
07836591-e11a-4809-8893-94c3b423e8b2_lineage2.2.1_strain1	SRR3743492
0b56b650-1567-4120-9f99-d9d9f2062ade_lineage2.2.1_strain1	SRR7516372
0cb877e3-4ab6-4622-90b5-31e29491966c_lineage2.2.1_strain1	SRR13232505
0e88cecd-1491-47fd-8959-5e888b4d9144_lineage2.2.1_strain1	SRR13232512
0e88cecd-1491-47fd-8959-5e888b4d9144_lineage2.2.1_strain1	SRR13232700
158a815c-bc74-4841-b4d0-23305046dd15_lineage2.2.1_strain1	SRR13232750
158a815c-bc74-4841-b4d0-23305046dd15_lineage2.2.1_strain1	SRR13232765
173881fe-58f4-449a-97b3-7bdb8bc25410_lineage2.2.1_strain1	SRR1163025
174b45a1-798b-4348-8c86-84992eb6363d_lineage2.2.1_strain1	SRR7516338
1757e462-bc01-48bb-94c3-fdbc9d277756_lineage2.2.1_strain1	SRR13232732
1828ec9b-0651-423c-a31a-fa04289d7582_lineage2.2.1_strain1	SRR10397182
1e93d0f8-4bd2-4423-b418-7cd49b7487b8_lineage2.2.1_strain1	SRR6458403
1e93d0f8-4bd2-4423-b418-7cd49b7487b8_lineage2.2.1_strain1	SRR6458412
2110f02b-36a4-4b54-93d9-761cec018a33_lineage2.2.1_strain1	SRR3743407
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312523
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312524
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312526
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312527
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312528
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312529
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR5153322
234e74df-9904-418d-8252-7a02c6a4ecb7_lineage2.2.1_strain1	SRR3743375
23b28df4-696e-4358-819e-b1c5b9940c74_lineage2.2.1_strain1	SRR10380114
24c6e10a-fc34-4057-b6b4-b51e1475f3be_lineage2.2.1_strain1	SRR13232782
26613860-bbe2-45ad-ae8e-48e12e26730d_lineage2.2.1_strain1	SRR7516352
280f46a5-7f33-407b-9e1d-e37f1d1f879b_lineage2.2.1_strain1	SRR13232521
2951753f-3c56-4d1f-a27c-b5c19ef0891b_lineage2.2.1_strain1	SRR10380249
299e91a6-ab5d-4a35-83c3-8e4f83952d13_lineage2.2.1_strain1	SRR7516325
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516380
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516384
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516385
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516386
2c5916d1-18c8-46f1-b126-235a62fab14d_lineage2.2.1_strain1	SRR13232689
2e8369da-2ce6-4d56-9cdc-de107eefdc95_lineage2.2.1_strain1	SRR10380104
304dca9c-1beb-4ab8-a83f-c0c95587fbe0_lineage2.2.1_strain1	SRR13232516
32348ea2-cfc7-4b7f-8172-5c40b2c81647_lineage2.2.1_strain1	SRR5153221
334b8b20-63c2-44ec-a8f3-3feeea4a41c0_lineage2.2.1_strain1	SRR13232511
373d6594-9ba8-468d-a59b-9e8b9a6fdace_lineage2.2.1_strain1	SRR3544727
39ec59d6-8f9c-470c-a4ff-95fbfd5e4add_lineage2.2.1_strain1	SRR10379946
3a4a5a99-b9c7-44bf-a6fb-3f43c4ce31df_lineage2.2.1_strain1	SRR7516304
3c318b7e-1116-4fc8-aa72-94d33dc9950e_lineage2.2.1_strain1	SRR1158898
3c4b8cf4-baf8-4485-90a2-4de5932056b2_lineage2.2.1_strain1	SRR13232508
3f117e91-cdda-4cd0-bcf6-8ad6963990a1_lineage2.2.1_strain1	SRR7516401
4009160e-1bc2-4d99-9a3e-5e10fe503853_lineage2.2.1_strain1	SRR5153262
40abc7d2-a65f-4064-9ef3-892dda73c42b_lineage2.2.1_strain1	SRR13232725
410b39c2-4703-4d54-94e5-5f9beec59950_lineage2.2.1_strain1	SRR13232743
414543f8-b987-447e-84dc-a7958498de03_lineage2.2.1_strain1	SRR7516426
44961436-7ff6-40d1-8178-3ec0231ac887_lineage2.2.1_strain1	SRR10379992
4498f50d-dfc7-4b0a-a429-8adbe0dfc0fd_lineage2.2.1_strain1	SRR7516317
466548b5-268f-4eeb-8ed9-aa9c3ff23c0b_lineage2.2.1_strain1	SRR1159044
49000b8c-fb33-4134-be1b-aff4542e6c79_lineage2.2.1_strain1	SRR3544733
4cc60fd1-9c56-4c62-a107-8f5a4629fdf9_lineage2.2.1_strain1	SRR10380190
4df583a6-0b3d-4ae9-97db-23e85fb09010_lineage2.2.1_strain1	SRR13232592
4df583a6-0b3d-4ae9-97db-23e85fb09010_lineage2.2.1_strain1	SRR13232667
50262be7-5ef5-4be1-934d-6a11dded190a_lineage2.2.1_strain1	SRR13232683
50262be7-5ef5-4be1-934d-6a11dded190a_lineage2.2.1_strain1	SRR13232685
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232488
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232489
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232491
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232567
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232570
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232572
531a1c9d-70bd-4bd3-970b-20b5dcab4065_lineage2.2.1_strain1	SRR1159760
54784bb8-20c7-4470-8b31-16eddd4f57f5_lineage2.2.1_strain1	SRR1158890
5598d4f2-c055-4159-9d8e-72b039bdb695_lineage2.2.1_strain1	SRR13232775
578df071-af61-40a9-bc43-e2159261e175_lineage2.2.1_strain1	SRR1159108
578df071-af61-40a9-bc43-e2159261e175_lineage2.2.1_strain1	SRR1159293
578df071-af61-40a9-bc43-e2159261e175_lineage2.2.1_strain1	SRR1162947
578e01be-8b67-4c7b-adbc-23661be7db09_lineage2.2.1_strain1	SRR6458393
5800549c-ea2a-4610-8913-0d4954673fd4_lineage2.2.1_strain1	SRR7516309
59273068-8fda-4dca-a0ab-1b66b4333333_lineage2.2.1_strain1	SRR13232574
5bc5f80a-2d8b-4b36-817f-f5345cb413f2_lineage2.2.1_strain1	SRR13232499
5bc5f80a-2d8b-4b36-817f-f5345cb413f2_lineage2.2.1_strain1	SRR13232564
5c842931-cef4-46cc-bfa8-e74624cae0cf_lineage2.2.1_strain1	SRR1162995
5c842931-cef4-46cc-bfa8-e74624cae0cf_lineage2.2.1_strain1	SRR1163166
5d2530ba-c3ae-4991-b75f-76066216e602_lineage2.2.1_strain1	SRR1163080
5f1d7c95-ce94-4c93-bf79-95fbb8842f76_lineage2.2.1_strain1	SRR10397242
5f1d7c95-ce94-4c93-bf79-95fbb8842f76_lineage2.2.1_strain1	SRR10397243
5f1d7c95-ce94-4c93-bf79-95fbb8842f76_lineage2.2.1_strain1	SRR10397244
60406f4f-9f8c-4457-94e4-b7ea11dadbff_lineage2.2.1_strain1	SRR6458384
60406f4f-9f8c-4457-94e4-b7ea11dadbff_lineage2.2.1_strain1	SRR6458422
62517ef0-5a48-4f73-97b7-8fb447388c34_lineage2.2.1_strain1	SRR13232518
